continente,edad,goles_seleccion,nombre_jugador,numero_partidos_seleccion,pais_donde_juega,pais_nacimiento,posicion
América del Norte,24,11,Guillermo Jiménez,16,México,México,Delantero centro
América del Norte,25,2,Guillermo Rodríguez,16,México,México,Mediocampista defensivo
América del Norte,21,3,Guillermo Rodríguez Hernández,13,México,México,Lateral izquierdo
África,25,9,Habib Diop,57,Senegal,Senegal,Lateral izquierdo
África,36,9,Habib Fall,98,España,Senegal,Delantero centro
África,22,0,Habib Gueye,26,Senegal,Senegal,Lateral derecho
África,35,6,Habib Koulibaly,42,Senegal,Senegal,Defensa central
África,37,19,Habib Mané,73,Senegal,Senegal,Extremo izquierdo
África,31,1,Habib Ndiaye,70,Alemania,Senegal,Extremo izquierdo
África,34,4,Habib Ndiaye 787,57,Australia,Senegal,Defensa central
África,27,0,Habib Ndiaye Cissé,21,Inglaterra,Senegal,Arquero
África,38,3,Habib Ndiaye Diop,41,Argentina,Senegal,Lateral izquierdo
África,39,2,Hakim Benali,69,Marruecos,Marruecos,Lateral izquierdo
África,23,4,Hakim Bono,46,Marruecos,Marruecos,Lateral derecho
África,19,3,Hakim El Haddadi,10,España,Marruecos,Lateral izquierdo
África,38,11,Hakim El Haddadi Amrabat,115,Marruecos,Marruecos,Mediocampista ofensivo
África,20,2,Hakim El Haddadi Saïss,19,Francia,Marruecos,Defensa central
África,28,1,Hakim En-Nesyri,49,Marruecos,Marruecos,Lateral izquierdo
África,30,5,Hakim Hakimi,45,Marruecos,Marruecos,Lateral derecho
Europa,33,0,Harry Brown,67,España,Inglaterra,Mediocampista defensivo
Europa,38,27,Harry Brown Smith,97,Portugal,Inglaterra,Delantero centro
Oceanía,27,0,Harry Grant,25,Australia,Australia,Arquero
Oceanía,29,3,Harry Grant Maclaren,32,Australia,Australia,Extremo derecho
Europa,32,0,Harry Green,97,Inglaterra,Inglaterra,Defensa central
Oceanía,26,8,Harry Maclaren,44,Australia,Australia,Mediocampista ofensivo
Oceanía,26,10,Harry Maclaren Leckie,57,Australia,Australia,Extremo izquierdo
Oceanía,29,4,Harry Maclaren Rowles,4,Inglaterra,Australia,Delantero centro
Oceanía,25,4,Harry Mooy,38,Portugal,Australia,Lateral derecho
Oceanía,36,0,Harry Ryan,38,Japón,Australia,Arquero
Europa,28,9,Harry Taylor,49,España,Inglaterra,Extremo derecho
Asia,21,11,Hiroki Kamada,30,Estados Unidos,Japón,Extremo derecho
Asia,36,0,Hiroki Kamada Endo,66,Australia,Japón,Arquero
Asia,19,1,Hiroki Kobayashi,9,Japón,Japón,Lateral izquierdo
Asia,38,19,Hiroki Morita,20,Alemania,Japón,Delantero centro
Asia,25,12,Hiroki Tanaka,63,Japón,Japón,Mediocampista ofensivo
Europa,18,6,Hugo Alonso,6,España,España,Extremo izquierdo
Europa,29,11,Hugo Moreno,90,España,España,Defensa central
Europa,23,22,Hugo Pérez,57,Estados Unidos,España,Delantero centro
Europa,34,13,Hugo Ruiz,83,Inglaterra,España,Lateral izquierdo
América del Norte,29,0,Héctor Jiménez,35,Francia,México,Arquero
América del Norte,22,0,Héctor Moreno,35,México,México,Arquero
América del Norte,28,3,Héctor Ramírez,11,México,México,Delantero centro
América del Norte,35,9,Héctor Sánchez,95,México,México,Defensa central
África,33,5,Ibrahim Osimhen,70,Nigeria,Nigeria,Lateral izquierdo
África,29,9,Idrissa Diallo,73,Alemania,Senegal,Defensa central
África,28,3,Idrissa Gueye,34,Marruecos,Senegal,Mediocampista defensivo
África,33,1,Idrissa Koulibaly,90,Marruecos,Senegal,Defensa central
África,38,22,Idrissa Koulibaly Cissé,105,Francia,Senegal,Delantero centro
África,36,14,Idrissa Koulibaly Diop,135,Senegal,Senegal,Lateral derecho
África,26,15,Idrissa Koulibaly Gueye,70,Inglaterra,Senegal,Delantero centro
África,27,0,Idrissa Ndiaye,25,Senegal,Senegal,Mediocampista ofensivo
Europa,21,5,Iker García,12,España,España,Extremo izquierdo
Europa,39,4,Iker Martínez,55,España,España,Mediocampista defensivo
Europa,35,20,Iker Martínez García,27,Marruecos,España,Delantero centro
Europa,21,0,Iker Martínez Rodríguez,5,España,España,Arquero
Europa,18,8,Iker Moreno,13,España,España,Delantero centro
Europa,22,3,Iker Rodríguez,14,Inglaterra,España,Mediocampista defensivo
Europa,21,5,Iker Sánchez,5,Inglaterra,España,Mediocampista ofensivo
África,21,2,Ilias Bono,19,Marruecos,Marruecos,Mediocampista defensivo
África,20,0,Ilias Hakimi,21,Marruecos,Marruecos,Defensa central
África,21,10,Ilias Ziyech,22,Portugal,Marruecos,Delantero centro
África,23,1,Ismaïla Cissé,36,Senegal,Senegal,Lateral izquierdo
África,23,3,Ismaïla Diallo,30,Senegal,Senegal,Lateral derecho
África,20,5,Ismaïla Dieng,7,Nigeria,Senegal,Extremo derecho
África,25,11,Ismaïla Fall,18,Senegal,Senegal,Delantero centro
África,28,27,Ismaïla Fall Dieng,82,Senegal,Senegal,Extremo derecho
África,19,1,Ismaïla Gueye,6,Senegal,Senegal,Lateral izquierdo
África,18,2,Ismaïla Gueye Diop,12,Australia,Senegal,Lateral izquierdo
África,24,0,Ismaïla Koulibaly,37,España,Senegal,Mediocampista defensivo
África,37,7,Ismaïla Mané,66,Senegal,Senegal,Defensa central
África,19,3,Ismaïla Ndiaye,15,Australia,Senegal,Lateral izquierdo
Europa,30,7,Jack Brown,31,Estados Unidos,Inglaterra,Mediocampista defensivo
Europa,31,4,Jack Green,66,Alemania,Inglaterra,Extremo izquierdo
Europa,22,13,Jack Jones,37,Estados Unidos,Inglaterra,Delantero centro
Europa,20,7,Jack Taylor,7,Australia,Inglaterra,Delantero centro
Europa,35,4,Jack Walker,30,Inglaterra,Inglaterra,Extremo izquierdo
Oceanía,19,2,Jackson Goodwin,3,Portugal,Australia,Mediocampista ofensivo
Oceanía,26,5,Jackson Irvine,54,Australia,Australia,Lateral derecho
Oceanía,31,10,Jackson Rowles,60,Japón,Australia,Mediocampista ofensivo
Europa,28,0,James Green,39,Inglaterra,Inglaterra,Lateral derecho
Europa,35,36,James Smith,63,Inglaterra,Inglaterra,Delantero centro
Europa,31,18,James Smith Smith,70,Inglaterra,Inglaterra,Delantero centro
Europa,27,13,James Taylor,36,Inglaterra,Inglaterra,Delantero centro
Europa,23,3,James Taylor King,42,Inglaterra,Inglaterra,Defensa central
Europa,29,7,James Wilson,71,Inglaterra,Inglaterra,Defensa central
Europa,31,0,James Wilson Taylor,134,Inglaterra,Inglaterra,Arquero
Oceanía,23,2,Jamie Maclaren,29,Japón,Australia,Lateral derecho
América del Norte,31,1,Javier García,41,Brasil,México,Lateral izquierdo
América del Norte,31,1,Javier López,60,Inglaterra,México,Defensa central
América del Norte,33,4,Javier Ramírez,39,España,México,Defensa central
América del Sur,19,2,Jeremy Arboleda,5,Francia,Ecuador,Defensa central
América del Sur,24,3,Jeremy Arboleda Valencia,18,España,Ecuador,Mediocampista defensivo
América del Sur,26,6,Jeremy Cedeño,11,Ecuador,Ecuador,Extremo derecho
América del Sur,29,1,Jeremy Cedeño Arboleda,21,Ecuador,Ecuador,Lateral derecho
América del Sur,18,1,Jeremy Cedeño Valencia,1,Ecuador,Ecuador,Delantero centro
América del Sur,35,1,Jeremy Chávez,33,Ecuador,Ecuador,Lateral derecho
América del Sur,18,6,Jhon Mina,6,Ecuador,Ecuador,Extremo derecho
América del Sur,26,14,Jhon Mina Gruezo,59,Ecuador,Ecuador,Extremo derecho
América del Sur,26,2,Jhon Preciado,30,Inglaterra,Ecuador,Lateral izquierdo
América del Sur,21,1,Jhon Preciado Arboleda,30,Ecuador,Ecuador,Lateral derecho
Europa,36,1,Jonas Koch,71,Alemania,Alemania,Lateral izquierdo
Europa,32,2,Jonas Müller,39,Alemania,Alemania,Mediocampista ofensivo
Europa,19,4,Jonas Schmidt,7,Alemania,Alemania,Mediocampista ofensivo
Europa,37,29,Jonas Schneider,57,Alemania,Alemania,Extremo izquierdo
Europa,19,1,Jonas Wagner,2,Francia,Alemania,Lateral derecho
América del Norte,29,2,Jordan Johnson,27,Estados Unidos,Estados Unidos,Lateral izquierdo
América del Norte,34,7,Jordan Miller,51,Argentina,Estados Unidos,Mediocampista ofensivo
América del Norte,19,14,Jordan Morris,16,Estados Unidos,Estados Unidos,Delantero centro
América del Norte,34,0,Jordan Morris Miller,85,Estados Unidos,Estados Unidos,Arquero
América del Norte,19,1,Jordan Morris Pulisic,18,México,Estados Unidos,Mediocampista defensivo
América del Norte,23,6,Jordan Reyna,34,Estados Unidos,Estados Unidos,Defensa central
América del Norte,37,2,Jordan Turner,24,Portugal,Estados Unidos,Defensa central
Europa,35,0,Jordi López,45,Inglaterra,España,Lateral izquierdo
Europa,26,1,Jordi Martínez,62,España,España,Lateral derecho
Europa,22,4,Jordi Sánchez,18,España,España,Defensa central
América del Sur,32,0,Jordy Chávez,86,Nigeria,Ecuador,Arquero
América del Sur,39,0,Jordy Chávez Preciado,56,Ecuador,Ecuador,Arquero
América del Sur,28,11,Jordy Mina,19,Ecuador,Ecuador,Delantero centro
América del Sur,28,0,Jordy Preciado,70,Nigeria,Ecuador,Lateral derecho
Europa,26,4,Joshua Becker,30,Senegal,Alemania,Extremo derecho
Europa,20,5,Joshua Schneider,6,México,Alemania,Mediocampista ofensivo
Europa,29,2,Joshua Schneider Fischer,53,Inglaterra,Alemania,Delantero centro
Europa,25,2,Joshua Weber,23,Alemania,Alemania,Mediocampista ofensivo
América del Sur,32,7,José Caicedo,46,Ecuador,Ecuador,Lateral derecho
América del Sur,23,4,José Gruezo,11,Ecuador,Ecuador,Extremo derecho
América del Sur,39,1,José Preciado,52,Australia,Ecuador,Mediocampista defensivo
América del Sur,19,7,José Quintero,7,Ecuador,Ecuador,Extremo derecho
América del Sur,25,8,José Valencia,13,Ecuador,Ecuador,Delantero centro
América del Sur,20,0,José Valencia Chávez,13,Ecuador,Ecuador,Arquero
América del Sur,34,0,José Valencia Mina,36,México,Ecuador,Defensa central
América del Sur,38,1,João Almeida,14,Brasil,Brasil,Defensa central
América del Sur,38,15,João Almeida Oliveira,23,Senegal,Brasil,Delantero centro
América del Sur,20,0,João Costa,11,Brasil,Brasil,Arquero
América del Sur,26,10,João Costa Costa,12,Francia,Brasil,Delantero centro
América del Sur,21,8,João Costa Oliveira,8,España,Brasil,Extremo izquierdo
América del Sur,24,8,João Ferreira,33,Brasil,Brasil,Extremo derecho
América del Sur,27,13,João Ferreira Lima,69,Brasil,Brasil,Mediocampista defensivo
América del Sur,20,5,João Lima,14,Argentina,Brasil,Mediocampista ofensivo
Europa,30,10,João Neves,30,Portugal,Portugal,Mediocampista ofensivo
Europa,24,14,João Neves Ferreira,27,Portugal,Portugal,Delantero centro
América del Sur,29,1,João Oliveira,83,Brasil,Brasil,Lateral izquierdo
Europa,24,1,João Ramos,8,España,Portugal,Defensa central
Europa,19,5,João Ramos Pereira,24,Alemania,Portugal,Extremo izquierdo
Europa,34,3,João Santos,22,Francia,Portugal,Mediocampista defensivo
América del Sur,33,13,João Santos Barbosa,66,Francia,Brasil,Extremo derecho
América del Sur,38,4,João Santos Souza,103,España,Brasil,Mediocampista defensivo
Europa,23,11,João Silva,11,Japón,Portugal,Delantero centro
Europa,20,1,João Silva Costa,1,Portugal,Portugal,Defensa central
Europa,29,0,João Silva Ramos,59,Portugal,Portugal,Arquero
Europa,26,2,Jude Brown,30,Inglaterra,Inglaterra,Defensa central
Europa,19,10,Jude Brown Walker,11,Alemania,Inglaterra,Extremo izquierdo
Europa,36,1,Jude Jones,118,Inglaterra,Inglaterra,Defensa central
Europa,32,9,Jude Smith,60,Inglaterra,Inglaterra,Lateral izquierdo
Europa,20,6,Jude Walker,18,Inglaterra,Inglaterra,Extremo izquierdo
Europa,24,2,Jude Wright,38,Inglaterra,Inglaterra,Defensa central
Europa,38,0,Jules Camara,37,Francia,Francia,Lateral izquierdo
Europa,38,21,Jules Fofana,33,Francia,Francia,Extremo derecho
Europa,30,2,Jules Kanté,84,México,Francia,Defensa central
Europa,18,2,Jules Mbappé,6,Alemania,Francia,Mediocampista ofensivo
Europa,23,7,Jules Petit,40,Brasil,Francia,Mediocampista defensivo
Europa,33,5,Julian Hoffmann,75,España,Alemania,Mediocampista defensivo
Europa,21,6,Julian Koch,23,Francia,Alemania,Extremo derecho
Europa,32,2,Julian Richter,43,Francia,Alemania,Defensa central
Europa,21,1,Julian Richter Wagner,19,Alemania,Alemania,Mediocampista defensivo
Europa,37,7,Julian Schmidt,52,Alemania,Alemania,Delantero centro
Europa,28,9,Julian Wagner,34,España,Alemania,Mediocampista ofensivo
Europa,24,12,Julian Wagner Becker,19,Japón,Alemania,Extremo derecho
Europa,22,5,Julian Weber,13,Senegal,Alemania,Mediocampista ofensivo
América del Sur,33,6,Julián Martínez,74,México,Argentina,Extremo izquierdo
América del Sur,23,4,Julián Romero,21,Ecuador,Argentina,Defensa central
Europa,20,7,Kai Koch,11,Marruecos,Alemania,Delantero centro
Europa,24,2,Kai Richter,39,Alemania,Alemania,Lateral izquierdo
Europa,22,2,Kai Richter Müller,11,Alemania,Alemania,Delantero centro
Europa,29,2,Kai Schneider,28,Alemania,Alemania,Lateral derecho
Europa,31,1,Kai Schneider Hoffmann,33,Alemania,Alemania,Defensa central
Europa,25,6,Kai Schneider Weber,35,Alemania,Alemania,Extremo derecho
África,35,0,Kalidou Diallo,57,España,Senegal,Arquero
África,23,0,Kalidou Diallo Diallo,23,Alemania,Senegal,Lateral izquierdo
África,22,1,Kalidou Dieng,32,Senegal,Senegal,Defensa central
África,31,3,Kalidou Dieng Diallo,56,Inglaterra,Senegal,Mediocampista defensivo
Asia,31,3,Kaoru Kamada,31,Alemania,Japón,Mediocampista defensivo
Asia,35,13,Kaoru Kobayashi,94,Japón,Japón,Extremo derecho
Asia,31,13,Kaoru Nakamura,77,Alemania,Japón,Extremo derecho
Asia,30,4,Kaoru Sato,96,Francia,Japón,Mediocampista defensivo
Asia,30,1,Kaoru Suzuki,21,Japón,Japón,Lateral izquierdo
África,28,7,Kelechi Adebayo,43,Nigeria,Nigeria,Lateral izquierdo
África,37,0,Kelechi Balogun,32,Argentina,Nigeria,Defensa central
África,37,0,Kelechi Eze,59,Nigeria,Nigeria,Arquero
África,30,3,Kelechi Eze Iheanacho,39,Nigeria,Nigeria,Extremo izquierdo
África,39,12,Kelechi Iheanacho,117,Alemania,Nigeria,Lateral izquierdo
África,37,1,Kelechi Nwankwo,86,España,Nigeria,Mediocampista defensivo
América del Sur,38,1,Kevin Caicedo,65,Ecuador,Ecuador,Defensa central
América del Sur,30,8,Kevin Cedeño,73,Ecuador,Ecuador,Lateral derecho
América del Sur,26,1,Kevin Cedeño Arboleda,32,Ecuador,Ecuador,Lateral izquierdo
América del Sur,26,4,Kevin Mina,36,Argentina,Ecuador,Delantero centro
América del Sur,19,10,Kevin Quintero,12,Brasil,Ecuador,Delantero centro
América del Sur,22,0,Kevin Quintero Arboleda,22,España,Ecuador,Arquero
América del Sur,32,20,Kevin Quintero Chávez,74,Ecuador,Ecuador,Delantero centro
América del Sur,37,5,Kevin Valencia,60,Inglaterra,Ecuador,Lateral derecho
Europa,28,8,Kingsley Bernard,66,Francia,Francia,Mediocampista ofensivo
Europa,23,18,Kingsley Dubois,46,España,Francia,Delantero centro
Europa,26,13,Kingsley Dubois Diaby,30,Portugal,Francia,Delantero centro
Europa,18,0,Kingsley Giroud,4,Francia,Francia,Defensa central
Europa,21,0,Kingsley Kanté,18,Senegal,Francia,Arquero
Europa,29,2,Kingsley Martin,78,Francia,Francia,Lateral izquierdo
Europa,31,3,Kingsley Petit,91,España,Francia,Defensa central
Asia,39,0,Koki Endo,54,Japón,Japón,Arquero
Asia,18,2,Koki Morita,2,México,Japón,Delantero centro
Asia,39,2,Koki Sato,90,Japón,Japón,Lateral derecho
Asia,26,11,Koki Sato 944,30,Brasil,Japón,Delantero centro
Asia,28,7,Koki Sato Kamada,18,Japón,Japón,Mediocampista ofensivo
Asia,30,2,Koki Sato Kobayashi,42,Japón,Japón,Lateral derecho
Europa,29,13,Kyle Green,61,Australia,Inglaterra,Delantero centro
Europa,27,1,Kyle Green Wilson,44,Francia,Inglaterra,Lateral derecho
Europa,22,4,Kyle Jones,27,Brasil,Inglaterra,Mediocampista defensivo
Europa,19,6,Kyle Taylor,6,Inglaterra,Inglaterra,Extremo izquierdo
Europa,33,7,Kyle Taylor Smith,17,Francia,Inglaterra,Delantero centro
Europa,36,1,Kyle Walker,49,Alemania,Inglaterra,Defensa central
Europa,25,5,Kyle White,43,Inglaterra,Inglaterra,Mediocampista defensivo
Europa,28,7,Kyle White King,19,Inglaterra,Inglaterra,Extremo izquierdo
Europa,21,1,Kyle Wright,3,Inglaterra,Inglaterra,Defensa central
Europa,20,6,Kylian Diaby,9,Francia,Francia,Extremo izquierdo
Europa,20,3,Kylian Diaby Camara,19,México,Francia,Lateral derecho
Europa,28,0,Kylian Diaby Diaby,61,Francia,Francia,Arquero
Europa,32,8,Kylian Dubois,31,Australia,Francia,Mediocampista defensivo
Europa,35,0,Kylian Dubois Fofana,33,Francia,Francia,Arquero
Europa,39,4,Kylian Fofana,63,Argentina,Francia,Defensa central
Europa,20,1,Kylian Giroud,9,Francia,Francia,Mediocampista defensivo
Europa,18,1,Kylian Kanté,1,Japón,Francia,Mediocampista defensivo
Europa,21,2,Kylian Petit,15,Estados Unidos,Francia,Mediocampista defensivo
Oceanía,38,2,Lachlan Grant,106,Australia,Australia,Lateral izquierdo
Oceanía,39,4,Lachlan Irvine,93,Australia,Australia,Defensa central
Oceanía,33,2,Lachlan Irvine Duke,59,Australia,Australia,Mediocampista ofensivo
Oceanía,18,1,Lachlan Maclaren,17,Australia,Australia,Lateral derecho
Oceanía,38,13,Lachlan Maclaren Maclaren,82,Australia,Australia,Mediocampista ofensivo
Oceanía,19,1,Lachlan Rowles,2,Portugal,Australia,Lateral derecho
Oceanía,28,0,Lachlan Smith,60,Australia,Australia,Lateral derecho
África,29,0,Lamine Cissé,49,Senegal,Senegal,Arquero
África,28,1,Lamine Cissé Dieng,73,México,Senegal,Lateral derecho
África,22,0,Lamine Cissé Fall,48,Nigeria,Senegal,Arquero
África,34,8,Lamine Dieng,66,España,Senegal,Delantero centro
África,31,2,Lamine Diop,67,Francia,Senegal,Defensa central
África,27,2,Lamine Koulibaly,25,Francia,Senegal,Mediocampista defensivo
África,35,9,Lamine Mané,47,Senegal,Senegal,Lateral derecho
América del Sur,23,0,Lautaro González,45,Argentina,Argentina,Defensa central
América del Sur,21,12,Lautaro Martínez,13,Inglaterra,Argentina,Delantero centro
América del Sur,30,0,Lautaro Álvarez,54,Japón,Argentina,Arquero
América del Sur,33,0,Lautaro Álvarez Romero,81,Marruecos,Argentina,Arquero
Europa,25,16,Leon Koch,31,Alemania,Alemania,Delantero centro
Europa,32,6,Leon Schmidt,28,Alemania,Alemania,Mediocampista ofensivo
Europa,37,9,Leon Schmidt Schneider,78,Alemania,Alemania,Defensa central
Europa,22,6,Leon Weber,17,Alemania,Alemania,Mediocampista ofensivo
Europa,23,1,Leon Weber Fischer,13,Alemania,Alemania,Lateral izquierdo
Europa,36,9,Leon Weber Müller,72,Alemania,Alemania,Lateral derecho
Europa,35,29,Leroy Becker,116,Portugal,Alemania,Delantero centro
Europa,37,7,Leroy Fischer,49,Alemania,Alemania,Defensa central
Europa,29,4,Leroy Hoffmann,33,Alemania,Alemania,Mediocampista ofensivo
Europa,19,0,Leroy Müller,8,México,Alemania,Defensa central
Europa,36,2,Leroy Wagner,108,España,Alemania,Mediocampista ofensivo
América del Sur,28,18,Lucas Acuña,95,España,Argentina,Extremo izquierdo
Europa,28,14,Lucas Camara,69,Ecuador,Francia,Delantero centro
América del Sur,36,14,Lucas Ferreira,92,Ecuador,Brasil,Lateral izquierdo
Europa,37,8,Lucas Fofana,69,Francia,Francia,Lateral izquierdo
América del Sur,18,2,Lucas González,4,Argentina,Argentina,Mediocampista defensivo
América del Sur,32,18,Lucas Lima,80,Inglaterra,Brasil,Delantero centro
América del Sur,33,10,Lucas Lima Ferreira,114,Brasil,Brasil,Lateral derecho
Europa,19,1,Lucas Martin,17,Francia,Francia,Lateral izquierdo
Europa,25,11,Lucas Martin Dubois,30,Francia,Francia,Delantero centro
Europa,26,0,Lucas Mbappé,21,Francia,Francia,Defensa central
América del Sur,26,11,Lucas Oliveira,23,Francia,Brasil,Extremo derecho
América del Sur,28,3,Lucas Pérez,48,Inglaterra,Argentina,Defensa central
América del Sur,19,10,Lucas Rodríguez,10,Estados Unidos,Argentina,Delantero centro
América del Sur,38,10,Lucas Silva,45,Estados Unidos,Brasil,Delantero centro
América del Sur,35,2,Lucas Souza,25,Brasil,Brasil,Defensa central
América del Sur,29,7,Lucas Souza Souza,74,Brasil,Brasil,Lateral izquierdo
América del Sur,39,8,Lucas Álvarez,112,Argentina,Argentina,Delantero centro
América del Sur,37,25,Luis Arboleda,111,Argentina,Ecuador,Extremo izquierdo
América del Sur,28,2,Luis Arboleda Cedeño,29,Argentina,Ecuador,Mediocampista defensivo
América del Sur,22,3,Luis Caicedo,39,Portugal,Ecuador,Extremo derecho
América del Norte,33,2,Luis García,57,Australia,México,Defensa central
América del Norte,34,5,Luis Jiménez,15,Brasil,México,Extremo izquierdo
América del Sur,18,4,Luis Méndez,12,España,Ecuador,Extremo derecho
América del Sur,39,27,Luis Preciado,113,Estados Unidos,Ecuador,Extremo derecho
América del Sur,29,31,Luis Quintero,119,Estados Unidos,Ecuador,Delantero centro
América del Norte,20,11,Luis Ramírez,11,Inglaterra,México,Extremo izquierdo
Europa,24,3,Manuel Fischer,60,España,Alemania,Defensa central
Europa,23,13,Manuel Koch,29,Estados Unidos,Alemania,Delantero centro
Europa,31,0,Marcos García,59,Senegal,España,Arquero
Europa,25,1,Marcos López,14,Marruecos,España,Lateral derecho
Europa,31,6,Marcos Martínez,94,Inglaterra,España,Defensa central
Europa,30,11,Marcos Martínez Sánchez,74,España,España,Mediocampista defensivo
Europa,37,0,Marcos Moreno,72,España,España,Defensa central
Europa,23,0,Marcos Rodríguez,26,España,España,Arquero
Europa,26,6,Marcos Sánchez,20,Inglaterra,España,Extremo izquierdo
Europa,31,9,Marcus Brown,64,Inglaterra,Inglaterra,Lateral derecho
Europa,19,8,Marcus Green,8,Francia,Inglaterra,Extremo izquierdo
Europa,22,2,Marcus Taylor,17,Inglaterra,Inglaterra,Mediocampista defensivo
Europa,28,6,Marcus Walker,49,Inglaterra,Inglaterra,Mediocampista ofensivo
Europa,18,2,Marcus Wilson,15,México,Inglaterra,Mediocampista defensivo
Europa,38,12,Marcus Wright,77,Argentina,Inglaterra,Mediocampista defensivo
Europa,30,2,Marcus Wright Smith,23,España,Inglaterra,Defensa central
Europa,36,0,Mason Green,56,Inglaterra,Inglaterra,Arquero
Europa,21,0,Mason Jones,2,España,Inglaterra,Mediocampista ofensivo
Europa,23,22,Mason Jones Wright,27,Francia,Inglaterra,Delantero centro
Europa,30,0,Mason Taylor,35,Australia,Inglaterra,Lateral derecho
Europa,33,2,Mason Wilson,102,Nigeria,Inglaterra,Lateral derecho
Europa,28,0,Mason Wright,65,Nigeria,Inglaterra,Arquero
América del Sur,23,18,Mateo Fernández,45,Inglaterra,Argentina,Delantero centro
América del Sur,18,1,Mateo Fernández Molina,6,Alemania,Argentina,Mediocampista defensivo
América del Sur,29,12,Mateo Fernández Álvarez,28,Brasil,Argentina,Delantero centro
América del Sur,19,8,Mateo González,8,Inglaterra,Argentina,Extremo izquierdo
América del Sur,32,0,Mateo Sosa,25,España,Argentina,Arquero
América del Sur,20,4,Matheus Almeida,13,Inglaterra,Brasil,Extremo derecho
América del Sur,22,0,Matheus Costa,27,Alemania,Brasil,Mediocampista defensivo
América del Sur,32,6,Matheus Ferreira,55,Francia,Brasil,Delantero centro
América del Sur,18,0,Matheus Pereira,7,Japón,Brasil,Defensa central
América del Sur,22,2,Matheus Silva,30,Brasil,Brasil,Lateral izquierdo
Oceanía,26,9,Mathew Duke,30,Brasil,Australia,Extremo derecho
Oceanía,26,1,Mathew Mooy,20,Australia,Australia,Defensa central
Oceanía,35,33,Mathew Mooy Duke,68,Alemania,Australia,Delantero centro
Oceanía,39,2,Mathew Mooy Ryan,33,Japón,Australia,Mediocampista ofensivo
Oceanía,31,12,Mathew Ryan,101,Francia,Australia,Extremo izquierdo
Oceanía,18,1,Mathew Smith,1,Australia,Australia,Extremo derecho
África,38,4,Mehdi Benali,76,Inglaterra,Marruecos,Lateral derecho
África,36,9,Mehdi Bono,63,Marruecos,Marruecos,Defensa central
África,22,0,Mehdi Hakimi,8,Nigeria,Marruecos,Arquero
África,21,2,Mehdi Mazraoui,34,México,Marruecos,Lateral izquierdo
África,36,16,Mehdi Saïss,64,España,Marruecos,Extremo derecho
América del Sur,22,0,Michael Cedeño,28,Estados Unidos,Ecuador,Defensa central
América del Sur,38,7,Michael Gruezo,41,Argentina,Ecuador,Delantero centro
América del Sur,39,7,Michael Gruezo Cedeño,104,Ecuador,Ecuador,Lateral derecho
América del Sur,30,8,Michael Mina,106,Portugal,Ecuador,Mediocampista ofensivo
América del Sur,36,18,Michael Preciado,42,Ecuador,Ecuador,Extremo derecho
América del Sur,27,20,Michael Quintero,20,Francia,Ecuador,Delantero centro
Europa,22,13,Mike Diaby,28,Alemania,Francia,Mediocampista ofensivo
Europa,34,46,Mike Fofana,78,Francia,Francia,Delantero centro
Europa,23,13,Mike Giroud,13,Alemania,Francia,Delantero centro
Europa,37,2,Mike Kanté,48,México,Francia,Defensa central
Europa,27,0,Mike Kanté Petit,34,Francia,Francia,Lateral derecho
Europa,22,1,Mike Martin,14,Estados Unidos,Francia,Mediocampista defensivo
América del Norte,31,0,Miles Johnson,102,Estados Unidos,Estados Unidos,Arquero
América del Norte,38,3,Miles Johnson Pulisic,77,Estados Unidos,Estados Unidos,Defensa central
América del Norte,35,4,Miles Pulisic,54,Inglaterra,Estados Unidos,Extremo izquierdo
América del Norte,30,3,Miles Reyna,70,Alemania,Estados Unidos,Defensa central
Oceanía,26,1,Mitchell Duke,43,Argentina,Australia,Lateral derecho
Oceanía,32,7,Mitchell Goodwin,54,Australia,Australia,Extremo izquierdo
Oceanía,30,7,Mitchell Grant,41,Japón,Australia,Defensa central
Oceanía,18,3,Mitchell Irvine,16,Australia,Australia,Lateral izquierdo
Oceanía,24,8,Mitchell Maclaren,35,España,Australia,Lateral derecho
Oceanía,35,6,Mitchell Mooy,85,Australia,Australia,Extremo derecho
Oceanía,27,2,Mitchell Rowles,36,Australia,Australia,Lateral derecho
Oceanía,36,13,Mitchell Rowles Ryan,41,España,Australia,Mediocampista ofensivo
África,36,1,Moses Adebayo,10,Nigeria,Nigeria,Lateral derecho
África,22,11,Moses Adebayo Balogun,14,Nigeria,Nigeria,Delantero centro
África,31,5,Moses Musa,6,España,Nigeria,Mediocampista ofensivo
África,18,5,Moses Musa Nwankwo,5,Inglaterra,Nigeria,Delantero centro
África,22,2,Moses Omeruo,18,Inglaterra,Nigeria,Lateral izquierdo
África,36,5,Moses Onyeka,120,Nigeria,Nigeria,Defensa central
África,27,2,Moses Osimhen,28,Nigeria,Nigeria,Lateral izquierdo
África,25,8,Moussa Cissé,26,Portugal,Senegal,Mediocampista ofensivo
África,35,10,Moussa Dieng,60,Francia,Senegal,Extremo derecho
África,19,0,Moussa Diop,13,Inglaterra,Senegal,Arquero
África,26,2,Moussa Diop Diop,32,Francia,Senegal,Mediocampista ofensivo
África,27,3,Moussa Gueye,31,Senegal,Senegal,Lateral derecho
África,38,3,Moussa Gueye Mané,118,Ecuador,Senegal,Defensa central
África,26,1,Moussa Koulibaly,26,Marruecos,Senegal,Lateral izquierdo
